id,from_id,from_circuit,to_id,to_circuit,distance_km,transport_mode,needs_air,truck_distance_km,truck_viable,truck_emissions,air_emissions
1782,38,Mugello,44,Riyadh,3840.7407554551455,,1,,,,1613111.117291161
1783,38,Mugello,45,Lagos,4239.002610434674,,1,,0.0,,1780381.0963825635
1784,38,Mugello,46,Oslo,1770.3138402854277,,0,2311.97,1.0,97102.74,743531.8129198796
1785,38,Mugello,47,Kuala Terengganu,9737.262046911706,,1,,,,4089650.059702917
1786,38,Mugello,48,Vancouver,8740.219244532473,,1,,,,3670892.082703639
1787,39,Cape Town,1,Silverstone,9747.915818191246,,1,,0.0,,4094124.6436403235
1788,39,Cape Town,2,Budapest,9062.415901545372,,1,,0.0,,3806214.678649056
1789,39,Cape Town,3,Monza,8891.470754966786,,1,,0.0,,3734417.71708605
1790,39,Cape Town,4,São Paulo,6343.266549867653,,1,,0.0,,2664171.950944415
1791,39,Cape Town,5,Sakhir,7476.947479250762,,1,,0.0,,3140317.9412853196
1792,39,Cape Town,6,Melbourne,10312.100375820532,,1,,0.0,,4331082.157844624
1793,39,Cape Town,7,Suzuka,14430.4519751537,,1,,0.0,,6060789.829564555
1794,39,Cape Town,8,Shanghai,12961.356563305675,,1,,0.0,,5443769.756588384
1795,39,Cape Town,9,Kuala Lumpur,9563.709642467866,,1,,0.0,,4016758.0498365033
1796,39,Cape Town,10,Catalunya,8554.85110098693,,1,,0.0,,3593037.462414511
1797,39,Cape Town,11,Spielberg,9029.494535916603,,1,,0.0,,3792387.705084973
1798,39,Cape Town,12,Montreal,12753.237328354873,,1,,0.0,,5356359.677909046
1799,39,Cape Town,13,Hockenheim,9307.7115564217,,1,,0.0,,3909238.8536971146
1800,39,Cape Town,14,Marina Bay,9667.396321565582,,1,,0.0,,4060306.455057544
1801,39,Cape Town,15,Austin,14071.245169065069,,1,,0.0,,5909922.971007329
1802,39,Cape Town,16,Imola,8728.739871267158,,1,,0.0,,3666070.7459322065
1803,39,Cape Town,17,Mexico City,13694.677263846705,,1,,0.0,,5751764.450815615
1804,39,Cape Town,18,Baku,8867.424965601698,,1,,0.0,,3724318.485552713
1805,39,Cape Town,19,Istanbul,8400.756268161394,,1,,0.0,,3528317.632627785
1806,39,Cape Town,20,Magny Cours,9111.488311198827,,1,,0.0,,3826825.0907035074
1807,39,Cape Town,21,Spa-Francorchamps,9459.49465263233,,1,,0.0,,3972987.7541055786
1808,39,Cape Town,22,Sochi,8871.57630553592,,1,,0.0,,3726062.0483250865
1809,39,Cape Town,23,Indianapolis,13480.27845931475,,1,,0.0,,5661716.952912196
1810,39,Cape Town,24,Jeddah,6553.496097713603,,1,,0.0,,2752468.3610397135
1811,39,Cape Town,25,Zandvoort,9691.28070025989,,1,,0.0,,4070337.894109153
1812,39,Cape Town,26,Valencia,8384.19323444936,,1,,0.0,,3521361.1584687307
1813,39,Cape Town,27,Le Castellet,8676.12226035869,,1,,0.0,,3643971.3493506494
1814,39,Cape Town,28,Lusail,7470.085193425983,,1,,0.0,,3137435.7812389126
1815,39,Cape Town,29,Yeongam County,13555.85342918381,,1,,0.0,,5693458.4402572
1816,39,Cape Town,30,Miami,12330.703849223613,,1,,0.0,,5178895.6166739175
1817,39,Cape Town,31,Uttar Pradesh,9305.676148112037,,1,,0.0,,3908383.982207056
1818,39,Cape Town,32,Monte Carlo,8706.381097502994,,1,,0.0,,3656680.060951257
1819,39,Cape Town,33,Las Vegas,15820.610141257153,,1,,0.0,,6644656.259328005
1820,39,Cape Town,34,Portimão,8391.913344095276,,1,,0.0,,3524603.6045200154
1821,39,Cape Town,35,Oyama,14655.148507717706,,1,,0.0,,6155162.373241437
1822,39,Cape Town,36,Nürburgring,9436.34018577081,,1,,0.0,,3963262.87802374
1823,39,Cape Town,37,Yas Marina,7534.0863381422505,,1,,0.0,,3164316.2620197455
1824,39,Cape Town,38,Mugello,8693.206829288982,,1,,0.0,,3651146.8683013725
1825,39,Cape Town,40,Seoul,13714.07949369933,,1,,0.0,,5759913.387353717
1826,39,Cape Town,41,Buenos Aires,6870.005746008781,,1,,0.0,,2885402.413323688
1827,39,Cape Town,42,Chicago,13667.217839662575,,1,,0.0,,5740231.492658282
1828,39,Cape Town,43,Auckland,11773.164739734486,,1,,0.0,,4944729.190688484
1829,39,Cape Town,44,Riyadh,7170.470746558902,,1,,0.0,,3011597.713554739
1830,39,Cape Town,45,Lagos,4767.845142389113,,1,,0.0,,2002494.9598034276
1831,39,Cape Town,46,Oslo,10457.406061082982,,1,,0.0,,4392110.545654852
1832,39,Cape Town,47,Kuala Terengganu,9853.060857469787,,1,,0.0,,4138285.560137311
1833,39,Cape Town,48,Vancouver,16442.324473009634,,1,,0.0,,6905776.278664046
1834,40,Seoul,1,Silverstone,8847.55815431804,,1,,0.0,,3715974.4248135765
1835,40,Seoul,2,Budapest,8151.363795657324,,1,,0.0,,3423572.794176076
1836,40,Seoul,3,Monza,8867.295830306046,,1,,0.0,,3724264.248728539
1837,40,Seoul,4,São Paulo,18360.30792871562,,1,,0.0,,7711329.33006056
1838,40,Seoul,5,Sakhir,7145.738767944677,,1,,0.0,,3001210.2825367646
1839,40,Seoul,6,Melbourne,8586.550195219032,,1,,0.0,,3606351.0819919934
1840,40,Seoul,7,Suzuka,909.4544645313462,,1,,0.0,,381970.8751031654
1841,40,Seoul,8,Shanghai,870.3749509414704,,1,,0.0,,365557.4793954175
1842,40,Seoul,9,Kuala Lumpur,4647.627447323469,,1,,0.0,,1952003.527875857
1843,40,Seoul,10,Catalunya,9581.579715842228,,1,,0.0,,4024263.4806537363
1844,40,Seoul,11,Spielberg,8437.454825603023,,1,,0.0,,3543731.0267532696
1845,40,Seoul,12,Montreal,10553.130063693938,,1,,0.0,,4432314.626751454
1846,40,Seoul,13,Hockenheim,8616.473454882353,,1,,0.0,,3618918.851050588
1847,40,Seoul,14,Marina Bay,4675.608276974466,,1,,0.0,,1963755.476329276
1848,40,Seoul,15,Austin,11172.86303997416,,1,,0.0,,4692602.476789148
1849,40,Seoul,16,Imola,8827.028753909783,,1,,0.0,,3707352.076642109
1850,40,Seoul,17,Mexico City,12056.84243084855,,1,,0.0,,5063873.820956391
1851,40,Seoul,18,Baku,6452.561156155972,,1,,0.0,,2710075.685585508
1852,40,Seoul,19,Istanbul,7927.594156909565,,1,,0.0,,3329589.545902017
1853,40,Seoul,20,Magny Cours,9091.40560615399,,1,,0.0,,3818390.354584676
1854,40,Seoul,21,Spa-Francorchamps,8659.864649729128,,1,,0.0,,3637143.152886234
1855,40,Seoul,22,Sochi,7041.737793071215,,1,,0.0,,2957529.8730899105
1856,40,Seoul,23,Indianapolis,10769.48895755836,,1,,0.0,,4523185.362174511
1857,40,Seoul,24,Jeddah,8383.938149101032,,1,,0.0,,3521254.022622433
